980	255	32	-8	28	61	-2	0	1060	-17	-55	58	-11	77	-59	17	
-12	21	-51	28	-76	-82	-118	17	5	-31	-101	47	5	6	-84	-61	
30	-14	11	-74	-66	-87	34	115	-96	-21	-48	-31	-61	40	-14	-26	
76	-33	206	-66	-103	-50	13	147	16	-78	24	64	-143	-36	-99	-47	
29	11	-76	58	-46	103	-51	125	26	13	-21	19	6	-44	-54	-2	
-13	39	103	-78	114	-50	-60	-6	198	-120	-89	-29	14	-141	-94	-12	
83	15	-39	89	-36	-29	-80	-12	-17	1	-44	-27	152	164	68	-38	
66	-42	-157	2	-5	-5	59	133	75	32	-152	30	-153	-74	55	153	
1057	-94	-8	-109	-65	-19	48	-120	1020	-128	4	-28	21	25	-117	-125	
94	-9	-105	39	-24	55	-72	36	25	-50	64	64	62	3	-30	-52	
-14	2	-110	-51	11	45	-10	-80	-7	-4	-26	42	-70	13	-72	-86	
128	-8	92	0	-26	-36	14	81	-28	81	59	-105	-86	-143	-63	106	
52	-42	-1	-37	68	-35	55	-21	-44	-95	-60	107	-200	-48	-168	23	
-59	-19	82	30	48	-59	32	-41	-96	-22	0	-83	45	103	37	151	
41	-15	26	-158	-15	144	-15	33	0	126	21	43	-32	81	-57	-73	
-52	-37	-44	20	8	154	53	39	-108	-66	105	58	-36	-30	72	-24	
